date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:38	7187/7187	---MCZ	200	added ('OK')	text/html	etag:%221d82eed35d8b111d93e80d9ece5702c4-ssl-df%22	https://crookedrook.netlify.app/	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/index.html	(from )
12:24:38	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1678568887-ssl-df	https://crookedrook.netlify.app/robots.txt		(from )
12:24:39	4338/4338	---MCZ	200	added ('OK')	application/javascript	etag:%22ae0b11d1a3d09b841f2f7dddc842d1ad-ssl-df%22	https://crookedrook.netlify.app/Squareset.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/Squareset.js	(from https://crookedrook.netlify.app/)
12:24:39	1146/1146	---M-Z	200	added ('OK')	application/javascript	etag:%22eb960a401ec18812fd7fe7e6b271ac0f-ssl-df%22	https://crookedrook.netlify.app/Constants.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/Constants.js	(from https://crookedrook.netlify.app/)
12:24:40	3309/3309	---M-Z	200	added ('OK')	application/javascript	etag:%22574227f4969e457eaa23c0ae986b234b-ssl-df%22	https://crookedrook.netlify.app/bnb_ep_init.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/bnb_ep_init.js	(from https://crookedrook.netlify.app/)
12:24:41	26520/26520	---MCZ	200	added ('OK')	application/javascript	etag:%22f4bb4d09afbf6476b6eb12ff3f8ed06c-ssl-df%22	https://crookedrook.netlify.app/start_game.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/start_game.js	(from https://crookedrook.netlify.app/)
12:24:41	16517/16517	---MCZ	200	added ('OK')	application/javascript	etag:%22c15f31ee3ce9f36e5a62a08034ec46ed-ssl-df%22	https://crookedrook.netlify.app/render.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/render.js	(from https://crookedrook.netlify.app/)
12:24:41	26424/26424	---MCZ	200	added ('OK')	application/javascript	etag:%22d1ffa1e9fe9e6721bac45ce5f53165a4-ssl-df%22	https://crookedrook.netlify.app/make_move.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/make_move.js	(from https://crookedrook.netlify.app/)
12:24:42	7454/7454	---MCZ	200	added ('OK')	application/javascript	etag:%22f109143cad202f2d0d049ef5984d1c96-ssl-df%22	https://crookedrook.netlify.app/refresh_moves.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/refresh_moves.js	(from https://crookedrook.netlify.app/)
12:24:42	777/777	---M--	200	added ('OK')	application/javascript	etag:%22f76b98dae48e33eb91b09946ea8ce237-ssl%22	https://crookedrook.netlify.app/style_data.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/style_data.js	(from https://crookedrook.netlify.app/)
12:24:43	10874/10874	---MCZ	200	added ('OK')	application/javascript	etag:%22a6cdb7333fac138dc25455381013f02b-ssl-df%22	https://crookedrook.netlify.app/init.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/init.js	(from https://crookedrook.netlify.app/)
12:24:43	1241/1241	---M-Z	200	added ('OK')	application/javascript	etag:%22abab62b5cb05c4fa2a14b53d8e6e26cd-ssl-df%22	https://crookedrook.netlify.app/random.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/random.js	(from https://crookedrook.netlify.app/)
12:24:44	2428/2428	---M-Z	200	added ('OK')	application/javascript	etag:%222090b77a50601b1208c3eb100e86a1d5-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/Cannon.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/Cannon.js	(from https://crookedrook.netlify.app/)
12:24:44	2237/2237	---MCZ	200	added ('OK')	application/javascript	etag:%22c59a7efa3c25869f652aa684f0b5c16a-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/No%20Step%20On%20Snek.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/No%20Step%20On%20Snek.js	(from https://crookedrook.netlify.app/)
12:24:45	2385/2385	---M-Z	200	added ('OK')	application/javascript	etag:%22f742443eca41167dc3d1d27e7f0b828d-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/Kitchen.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/Kitchen.js	(from https://crookedrook.netlify.app/)
12:24:45	2070/2070	---M-Z	200	added ('OK')	application/javascript	etag:%2287de095fdba3ae88de2e7022160decbb-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/LeapyMakruk.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/LeapyMakruk.js	(from https://crookedrook.netlify.app/)
12:24:46	3642/3642	---MCZ	200	added ('OK')	application/javascript	etag:%22baff5686b60e7730629aa4dd84e37cad-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/Honey%20Rush.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/Honey%20Rush.js	(from https://crookedrook.netlify.app/)
12:24:46	2010/2010	---MCZ	200	added ('OK')	application/javascript	etag:%22dc9993ecbb369ced04e171673e1c21ec-ssl-df%22	https://crookedrook.netlify.app/boards/CCIT/Segiztas%20Peak.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/CCIT/Segiztas%20Peak.js	(from https://crookedrook.netlify.app/)
12:24:47	2178/2178	---M-Z	200	added ('OK')	application/javascript	etag:%229966df80b535bc596325495146a9b8ab-ssl-df%22	https://crookedrook.netlify.app/boards/Chess/Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Chess/Chess.js	(from https://crookedrook.netlify.app/)
12:24:47	2037/2037	---M-Z	200	added ('OK')	application/javascript	etag:%227acadb35204c4e8980249f1e4b29a430-ssl-df%22	https://crookedrook.netlify.app/boards/Chess/Chess5040.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Chess/Chess5040.js	(from https://crookedrook.netlify.app/)
12:24:48	2000/2000	---M-Z	200	added ('OK')	application/javascript	etag:%22e2e469bf019b8d1a4ee8e44ed6686caf-ssl-df%22	https://crookedrook.netlify.app/boards/Historical/Chaturanga.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Historical/Chaturanga.js	(from https://crookedrook.netlify.app/)
12:24:49	2570/2570	---MCZ	200	added ('OK')	application/javascript	etag:%22fc34c69c7332ffdcbeaa04fe68327c68-ssl-df%22	https://crookedrook.netlify.app/boards/Historical/Courier%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Historical/Courier%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:49	3226/3226	---M-Z	200	added ('OK')	application/javascript	etag:%22fba1ec46eae14c1e6d80d89a92f891b1-ssl-df%22	https://crookedrook.netlify.app/boards/Historical/Courier%20Chess%20Start.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Historical/Courier%20Chess%20Start.js	(from https://crookedrook.netlify.app/)
12:24:49	4620/4620	---MCZ	200	added ('OK')	application/javascript	etag:%22cfd9524530adc5a98b3491fdedb6e14c-ssl-df%22	https://crookedrook.netlify.app/boards/Historical/Grant%20Acedrex.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Historical/Grant%20Acedrex.js	(from https://crookedrook.netlify.app/)
12:24:50	2355/2355	---M-Z	200	added ('OK')	application/javascript	etag:%2296168ccc1f68e6d40301b80b52a6bc7b-ssl-df%22	https://crookedrook.netlify.app/boards/Other/Xiangqi.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Other/Xiangqi.js	(from https://crookedrook.netlify.app/)
12:24:50	4872/4872	---MCZ	200	added ('OK')	application/javascript	etag:%22d1a08bc49d9162dfcc1764a5680bf83b-ssl-df%22	https://crookedrook.netlify.app/boards/Shogi/Shogi.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Shogi/Shogi.js	(from https://crookedrook.netlify.app/)
12:24:51	2445/2445	---M-Z	200	added ('OK')	application/javascript	etag:%22838d3a0c722ad7d50f369abea72d9d67-ssl-df%22	https://crookedrook.netlify.app/boards/Shogi/Heian%20Shogi.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Shogi/Heian%20Shogi.js	(from https://crookedrook.netlify.app/)
12:24:51	3891/3891	---MCZ	200	added ('OK')	application/javascript	etag:%228c2378d93f3ed3f9f86896d66475b49f-ssl-df%22	https://crookedrook.netlify.app/boards/Shogi/Sho%20Shogi.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Shogi/Sho%20Shogi.js	(from https://crookedrook.netlify.app/)
12:24:52	2992/2992	---MCZ	200	added ('OK')	application/javascript	etag:%227cf9425dbbbec536de44455877e266cc-ssl-df%22	https://crookedrook.netlify.app/boards/Shogi/Micro%20Shogi.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Shogi/Micro%20Shogi.js	(from https://crookedrook.netlify.app/)
12:24:52	2413/2413	---M-Z	200	added ('OK')	application/javascript	etag:%22e83ea8006ae930ab1806bfd69769ef52-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Bird's%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Bird's%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:52	2255/2255	---M-Z	200	added ('OK')	application/javascript	etag:%2223cda5dcf5ad2d3ffa8be6739916130d-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Carrera's%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Carrera's%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:53	2429/2429	---M-Z	200	added ('OK')	application/javascript	etag:%2267e0fdbbd5470205ef7e282ada0d51f5-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Capablanca%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Capablanca%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:53	2409/2409	---M-Z	200	added ('OK')	application/javascript	etag:%224da29d63cd51f625435ab5a87e2aaea0-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Gothic%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Gothic%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:54	2412/2412	---M-Z	200	added ('OK')	application/javascript	etag:%2272275078e161f64c9920fd1c1b78dcd3-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Embassy%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Embassy%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:54	2471/2471	---M-Z	200	added ('OK')	application/javascript	etag:%22f6a592fb08e2a7d1a241cba7df1fb690-ssl-df%22	https://crookedrook.netlify.app/boards/Compound%20Chess/Compound%20Shuffle%20Chess.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/boards/Compound%20Chess/Compound%20Shuffle%20Chess.js	(from https://crookedrook.netlify.app/)
12:24:55	24781/24781	---M--	200	added ('OK')	image/png	etag:%2292ba0166ba244bd5399de114f2fb34a1-ssl%22	https://crookedrook.netlify.app/icon.png	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/icon.png	(from https://crookedrook.netlify.app/)
12:24:55	22121/22121	---M--	200	added ('OK')	text/javascript	date:Fri,%2028%20Jan%202022%2020:19:14%20GMT	https://www.gstatic.com/firebasejs/8.10.1/firebase-app.js	C:/My%20Web%20Sites/CrookedRook/www.gstatic.com/firebasejs/8.10.1/firebase-app.js	(from https://crookedrook.netlify.app/)
12:24:55	177250/177250	---M--	200	added ('OK')	text/javascript	date:Fri,%2028%20Jan%202022%2020:19:10%20GMT	https://www.gstatic.com/firebasejs/8.10.1/firebase-auth.js	C:/My%20Web%20Sites/CrookedRook/www.gstatic.com/firebasejs/8.10.1/firebase-auth.js	(from https://crookedrook.netlify.app/)
12:24:56	187743/187743	---M--	200	added ('OK')	text/javascript	date:Fri,%2028%20Jan%202022%2020:19:13%20GMT	https://www.gstatic.com/firebasejs/8.10.1/firebase-database.js	C:/My%20Web%20Sites/CrookedRook/www.gstatic.com/firebasejs/8.10.1/firebase-database.js	(from https://crookedrook.netlify.app/)
12:24:56	16471/16471	---MCZ	200	added ('OK')	application/javascript	etag:%2200c76d637063526d68f302df83a95f8c-ssl-df%22	https://crookedrook.netlify.app/firebase-code.js	C:/My%20Web%20Sites/CrookedRook/crookedrook.netlify.app/firebase-code.js	(from https://crookedrook.netlify.app/)
